"Indicador";"Periodo";"Valor";"Categoría 1";"Categoría 1-Valor";"Categoría 2";"Categoría 2-Valor";"Categoría 3";"Categoría 3-Valor";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2023";"27.6";"Sexo, 4 grupos de edad y TTHH";"15-19 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2023";"34.4";"Sexo, 4 grupos de edad y TTHH";"Mujeres";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2023";"30.8";"Sexo, 4 grupos de edad y TTHH";"Hombres";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2017";"47";"Sexo, 4 grupos de edad y TTHH";"Total";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2017";"46.4";"Sexo, 4 grupos de edad y TTHH";"Población total";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2017";"46.7";"Sexo, 4 grupos de edad y TTHH";"Gipuzkoa";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2017";"36.5";"Sexo, 4 grupos de edad y TTHH";"Bizkaia";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2017";"42.7";"Sexo, 4 grupos de edad y TTHH";"Álava";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2017";"48.3";"Sexo, 4 grupos de edad y TTHH";"25-29 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2017";"46";"Sexo, 4 grupos de edad y TTHH";"20-24 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2017";"27.3";"Sexo, 4 grupos de edad y TTHH";"15-19 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2017";"41";"Sexo, 4 grupos de edad y TTHH";"Mujeres";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2017";"35";"Sexo, 4 grupos de edad y TTHH";"Hombres";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2012";"53.3";"Sexo, 4 grupos de edad y TTHH";"Total";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2012";"35.8";"Sexo, 4 grupos de edad y TTHH";"Población total";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2012";"51.4";"Sexo, 4 grupos de edad y TTHH";"Gipuzkoa";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2012";"40.2";"Sexo, 4 grupos de edad y TTHH";"Bizkaia";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2012";"46.1";"Sexo, 4 grupos de edad y TTHH";"Álava";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2012";"45.1";"Sexo, 4 grupos de edad y TTHH";"25-29 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2012";"56.8";"Sexo, 4 grupos de edad y TTHH";"20-24 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2012";"31.7";"Sexo, 4 grupos de edad y TTHH";"15-19 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2012";"44.8";"Sexo, 4 grupos de edad y TTHH";"Mujeres";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2012";"36.5";"Sexo, 4 grupos de edad y TTHH";"Hombres";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2010";"49.2";"Sexo, 4 grupos de edad y TTHH";"Total";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2010";"46.5";"Sexo, 4 grupos de edad y TTHH";"Población total";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2010";"32.9";"Sexo, 4 grupos de edad y TTHH";"Gipuzkoa";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2010";"43.3";"Sexo, 4 grupos de edad y TTHH";"Bizkaia";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2010";"49.9";"Sexo, 4 grupos de edad y TTHH";"Álava";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2010";"43.5";"Sexo, 4 grupos de edad y TTHH";"25-29 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2010";"48";"Sexo, 4 grupos de edad y TTHH";"20-24 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2010";"28.8";"Sexo, 4 grupos de edad y TTHH";"15-19 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2010";"41.1";"Sexo, 4 grupos de edad y TTHH";"Mujeres";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2010";"32.5";"Sexo, 4 grupos de edad y TTHH";"Hombres";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2008";"61.3";"Sexo, 4 grupos de edad y TTHH";"Total";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2008";"38.2";"Sexo, 4 grupos de edad y TTHH";"Población total";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2008";"46.5";"Sexo, 4 grupos de edad y TTHH";"Gipuzkoa";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2008";"48.2";"Sexo, 4 grupos de edad y TTHH";"Bizkaia";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2008";"52.6";"Sexo, 4 grupos de edad y TTHH";"Álava";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2008";"50.8";"Sexo, 4 grupos de edad y TTHH";"25-29 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2008";"50.8";"Sexo, 4 grupos de edad y TTHH";"20-24 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2008";"41.2";"Sexo, 4 grupos de edad y TTHH";"15-19 años";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2008";"48.4";"Sexo, 4 grupos de edad y TTHH";"Mujeres";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de alcohol de riesgo de la población de 15 a 29 años, según sexo";"2008";"34.2";"Sexo, 4 grupos de edad y TTHH";"Hombres";"Consumo de alcohol de riesgo";"Consumo de alcohol de riesgo";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2023";"9.7";"Sexo, 4 grupos de edad y TTHH";"Total";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2023";"4.1";"Sexo, 4 grupos de edad y TTHH";"Población total";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2023";"8.8";"Sexo, 4 grupos de edad y TTHH";"Gipuzkoa";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2023";"11.3";"Sexo, 4 grupos de edad y TTHH";"Bizkaia";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2023";"6.4";"Sexo, 4 grupos de edad y TTHH";"Álava";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2023";"10.3";"Sexo, 4 grupos de edad y TTHH";"25-29 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2023";"9.9";"Sexo, 4 grupos de edad y TTHH";"20-24 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2023";"8.9";"Sexo, 4 grupos de edad y TTHH";"15-19 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2023";"5.2";"Sexo, 4 grupos de edad y TTHH";"Mujeres";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2023";"13.8";"Sexo, 4 grupos de edad y TTHH";"Hombres";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2017";"14.2";"Sexo, 4 grupos de edad y TTHH";"Total";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2017";"4.9";"Sexo, 4 grupos de edad y TTHH";"Población total";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2017";"16";"Sexo, 4 grupos de edad y TTHH";"Gipuzkoa";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2017";"12.6";"Sexo, 4 grupos de edad y TTHH";"Bizkaia";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2017";"15.1";"Sexo, 4 grupos de edad y TTHH";"Álava";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2017";"16.1";"Sexo, 4 grupos de edad y TTHH";"25-29 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2017";"16.1";"Sexo, 4 grupos de edad y TTHH";"20-24 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2017";"9.9";"Sexo, 4 grupos de edad y TTHH";"15-19 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2017";"7.5";"Sexo, 4 grupos de edad y TTHH";"Mujeres";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2017";"20.8";"Sexo, 4 grupos de edad y TTHH";"Hombres";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2012";"12.7";"Sexo, 4 grupos de edad y TTHH";"Total";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2012";"4.3";"Sexo, 4 grupos de edad y TTHH";"Población total";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2012";"15.3";"Sexo, 4 grupos de edad y TTHH";"Gipuzkoa";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2012";"11.4";"Sexo, 4 grupos de edad y TTHH";"Bizkaia";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2012";"11.5";"Sexo, 4 grupos de edad y TTHH";"Álava";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2012";"13.9";"Sexo, 4 grupos de edad y TTHH";"25-29 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2012";"15.2";"Sexo, 4 grupos de edad y TTHH";"20-24 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2012";"8.4";"Sexo, 4 grupos de edad y TTHH";"15-19 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2012";"7.1";"Sexo, 4 grupos de edad y TTHH";"Mujeres";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2012";"18.4";"Sexo, 4 grupos de edad y TTHH";"Hombres";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2010";"20";"Sexo, 4 grupos de edad y TTHH";"Total";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2010";"7.2";"Sexo, 4 grupos de edad y TTHH";"Población total";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2010";"17.2";"Sexo, 4 grupos de edad y TTHH";"Gipuzkoa";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2010";"17.9";"Sexo, 4 grupos de edad y TTHH";"Bizkaia";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2010";"32.1";"Sexo, 4 grupos de edad y TTHH";"Álava";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2010";"23.5";"Sexo, 4 grupos de edad y TTHH";"25-29 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2010";"20";"Sexo, 4 grupos de edad y TTHH";"20-24 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2010";"14";"Sexo, 4 grupos de edad y TTHH";"15-19 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2010";"14.1";"Sexo, 4 grupos de edad y TTHH";"Mujeres";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2010";"25.4";"Sexo, 4 grupos de edad y TTHH";"Hombres";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2008";"23.8";"Sexo, 4 grupos de edad y TTHH";"Total";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2008";"8.7";"Sexo, 4 grupos de edad y TTHH";"Población total";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2008";"24";"Sexo, 4 grupos de edad y TTHH";"Gipuzkoa";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2008";"20.5";"Sexo, 4 grupos de edad y TTHH";"Bizkaia";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2008";"34.1";"Sexo, 4 grupos de edad y TTHH";"Álava";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2008";"21.5";"Sexo, 4 grupos de edad y TTHH";"25-29 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2008";"29.7";"Sexo, 4 grupos de edad y TTHH";"20-24 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2008";"19.8";"Sexo, 4 grupos de edad y TTHH";"15-19 años";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2008";"15.8";"Sexo, 4 grupos de edad y TTHH";"Mujeres";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de cannabis en el último mes en la población de 15 a 29 años";"2008";"31";"Sexo, 4 grupos de edad y TTHH";"Hombres";"Consumo cannabis último mes";"Consumo de cannabis";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2023";"17.4";"Sexo, 4 grupos de edad y TTHH";"Total";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2023";"19.7";"Sexo, 4 grupos de edad y TTHH";"Población total";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2023";"18";"Sexo, 4 grupos de edad y TTHH";"Gipuzkoa";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2023";"18.4";"Sexo, 4 grupos de edad y TTHH";"Bizkaia";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2023";"12.3";"Sexo, 4 grupos de edad y TTHH";"Álava";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2023";"19.8";"Sexo, 4 grupos de edad y TTHH";"25-29 años";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2023";"18.6";"Sexo, 4 grupos de edad y TTHH";"20-24 años";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2023";"12.7";"Sexo, 4 grupos de edad y TTHH";"15-19 años";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2023";"17.8";"Sexo, 4 grupos de edad y TTHH";"Mujeres";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2023";"17";"Sexo, 4 grupos de edad y TTHH";"Hombres";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2017";"18.5";"Sexo, 4 grupos de edad y TTHH";"Total";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2017";"22.1";"Sexo, 4 grupos de edad y TTHH";"Población total";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2017";"19.4";"Sexo, 4 grupos de edad y TTHH";"Gipuzkoa";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2017";"18";"Sexo, 4 grupos de edad y TTHH";"Bizkaia";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2017";"18.4";"Sexo, 4 grupos de edad y TTHH";"Álava";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2017";"27.5";"Sexo, 4 grupos de edad y TTHH";"25-29 años";"Consumo de tabaco";"Consumo de tabaco";"";"";
"Consumo de tabaco en la población de 15 a 29 años, según sexo";"2017";"16.1";"Sexo, 4 grupos de edad y TTHH";"20-24 años";"Consumo de tabaco";"Consumo de tabaco";"";"";
